1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
060160.71	plastic rehabilitation	060160.71	plastic rehabilitation	Wood/Plastics/Composites	06 00 00
060160.91	plastic restoration	060160.91	plastic restoration	Wood/Plastics/Composites	06 00 00
060160.92	plastic preservation	060160.92	plastic preservation	Wood/Plastics/Composites	06 00 00
060170	maintenance of structural composites	060170	maintenance of structural composites	Wood/Plastics/Composites	06 00 00
060180	maintenance of composite assemblies	060180	maintenance of composite assemblies	Wood/Plastics/Composites	06 00 00
060180.51	composite cleaning	060180.51	composite cleaning	Wood/Plastics/Composites	06 00 00
060180.71	composite rehabilitation	060180.71	composite rehabilitation	Wood/Plastics/Composites	06 00 00
060180.91	composite restoration	060180.91	composite restoration	Wood/Plastics/Composites	06 00 00
060180.92	composite preservation	060180.92	composite preservation	Wood/Plastics/Composites	06 00 00
060300	conservation treatment for period wood	060300	conservation treatment for period wood	Wood/Plastics/Composites	06 00 00
060301	maintenance for period wood	060301	maintenance for period wood	Wood/Plastics/Composites	06 00 00
060301.31	period wood storage and protection	060301.31	period wood storage and protection	Wood/Plastics/Composites	06 00 00
060305	common work results for period wood	060305	common work results for period wood	Wood/Plastics/Composites	06 00 00
060305.73	long-term period wood treatment	060305.73	long-term period wood treatment	Wood/Plastics/Composites	06 00 00
060305.74	eradication of insects in period wood	060305.74	eradication of insects in period wood	Wood/Plastics/Composites	06 00 00
060305.75	antiseptic treatment of period wood	060305.75	antiseptic treatment of period wood	Wood/Plastics/Composites	06 00 00
060313	conservation treatment of period log construction	060313	conservation treatment of period log construction	Wood/Plastics/Composites	06 00 00
060313.23	conservation treatment for period heavy timber	060313.23	conservation treatment for period heavy timber	Wood/Plastics/Composites	06 00 00
060320	conservation treatment for period finish carpentry	060320	conservation treatment for period finish carpentry	Wood/Plastics/Composites	06 00 00
060320.13	period exterior finish carpentry	060320.13	period exterior finish carpentry	Wood/Plastics/Composites	06 00 00
060320.23	period interior finish carpentry	060320.23	period interior finish carpentry	Wood/Plastics/Composites	06 00 00
060340	conservation treatment for period architectural woodwork	060340	conservation treatment for period architectural woodwork	Wood/Plastics/Composites	06 00 00
060340.13	period exterior architectural woodwork	060340.13	period exterior architectural woodwork	Wood/Plastics/Composites	06 00 00
060340.23	period interior architectural woodwork	060340.23	period interior architectural woodwork	Wood/Plastics/Composites	06 00 00
060500	common work results for wood, plastics, and composites	060500	common work results for wood, plastics, and composites	Wood/Plastics/Composites	06 00 00
060505	selective demolition for wood, plastics, and composites	060505	selective demolition for wood, plastics, and composites	Wood/Plastics/Composites	06 00 00
060523	wood, plastic, and composite fastenings	060523	wood, plastic, and composite fastenings	Wood/Plastics/Composites	06 00 00
060573	wood treatment	060573	wood treatment	Wood/Plastics/Composites	06 00 00
060573.13	fire-retardant wood treatment	060573.13	fire-retardant wood treatment	Wood/Plastics/Composites	06 00 00
060573.33	preservative wood treatment	060573.33	preservative wood treatment	Wood/Plastics/Composites	06 00 00
060573.91	long-term wood treatment	060573.91	long-term wood treatment	Wood/Plastics/Composites	06 00 00
060573.93	eradication of insects in wood	060573.93	eradication of insects in wood	Wood/Plastics/Composites	06 00 00
060573.96	antiseptic treatment of wood	060573.96	antiseptic treatment of wood	Wood/Plastics/Composites	06 00 00
060583	shop-applied wood coatings	060583	shop-applied wood coatings	Wood/Plastics/Composites	06 00 00
060600	schedules for wood, plastics, and composites	060600	schedules for wood, plastics, and composites	Wood/Plastics/Composites	06 00 00
060610	schedules for rough carpentry	060610	schedules for rough carpentry	Wood/Plastics/Composites	06 00 00
060610.13	nailing schedule	060610.13	nailing schedule	Wood/Plastics/Composites	06 00 00
060610.16	wood beam schedule	060610.16	wood beam schedule	Wood/Plastics/Composites	06 00 00
060610.19	plywood shear wall schedule	060610.19	plywood shear wall schedule	Wood/Plastics/Composites	06 00 00
060610.23	plywood web joist schedule	060610.23	plywood web joist schedule	Wood/Plastics/Composites	06 00 00
060610.26	wood truss schedule	060610.26	wood truss schedule	Wood/Plastics/Composites	06 00 00
060620	schedules for finish carpentry	060620	schedules for finish carpentry	Wood/Plastics/Composites	06 00 00
060640	schedules for architectural woodwork	060640	schedules for architectural woodwork	Wood/Plastics/Composites	06 00 00
060650	schedules for structural plastics	060650	schedules for structural plastics	Wood/Plastics/Composites	06 00 00
060660	schedules for plastic fabrications	060660	schedules for plastic fabrications	Wood/Plastics/Composites	06 00 00
060670	schedules for structural composites	060670	schedules for structural composites	Wood/Plastics/Composites	06 00 00
060680	schedules for composite assemblies	060680	schedules for composite assemblies	Wood/Plastics/Composites	06 00 00
060800	commissioning of wood, plastics, and composites	060800	commissioning of wood, plastics, and composites	Wood/Plastics/Composites	06 00 00
061000	rough carpentry	061000	rough carpentry	Wood/Plastics/Composites	06 00 00
061053	miscellaneous rough carpentry	061053	miscellaneous rough carpentry	Wood/Plastics/Composites	06 00 00
061063	exterior rough carpentry	061063	exterior rough carpentry	Wood/Plastics/Composites	06 00 00
061100	wood framing	061100	wood framing	Wood/Plastics/Composites	06 00 00
061113	engineered wood products	061113	engineered wood products	Wood/Plastics/Composites	06 00 00
061116	mechanically graded lumber	061116	mechanically graded lumber	Wood/Plastics/Composites	06 00 00
061200	structural panels	061200	structural panels	Wood/Plastics/Composites	06 00 00
061213	cementitious reinforced panels	061213	cementitious reinforced panels	Wood/Plastics/Composites	06 00 00
061216	stressed skin panels	061216	stressed skin panels	Wood/Plastics/Composites	06 00 00
061300	heavy timber construction	061300	heavy timber construction	Wood/Plastics/Composites	06 00 00
061313	log construction	061313	log construction	Wood/Plastics/Composites	06 00 00
061313.91	period horizontal log work	061313.91	period horizontal log work	Wood/Plastics/Composites	06 00 00
061316	pole construction	061316	pole construction	Wood/Plastics/Composites	06 00 00
061323	heavy timber framing	061323	heavy timber framing	Wood/Plastics/Composites	06 00 00
061326	heavy timber trusses	061326	heavy timber trusses	Wood/Plastics/Composites	06 00 00
061333	heavy timber pier construction	061333	heavy timber pier construction	Wood/Plastics/Composites	06 00 00
061400	treated wood foundations	061400	treated wood foundations	Wood/Plastics/Composites	06 00 00
061500	wood decking	061500	wood decking	Wood/Plastics/Composites	06 00 00
061513	wood floor decking	061513	wood floor decking	Wood/Plastics/Composites	06 00 00
061513.91	carvel planking	061513.91	carvel planking	Wood/Plastics/Composites	06 00 00
061516	wood roof decking	061516	wood roof decking	Wood/Plastics/Composites	06 00 00
061519	timber decking	061519	timber decking	Wood/Plastics/Composites	06 00 00
061523	laminated wood decking	061523	laminated wood decking	Wood/Plastics/Composites	06 00 00
061533	wood patio decking	061533	wood patio decking	Wood/Plastics/Composites	06 00 00
061600	sheathing	061600	sheathing	Wood/Plastics/Composites	06 00 00
061613	insulating sheathing	061613	insulating sheathing	Wood/Plastics/Composites	06 00 00
061623	subflooring	061623	subflooring	Wood/Plastics/Composites	06 00 00
061626	underlayment	061626	underlayment	Wood/Plastics/Composites	06 00 00
061633	wood board sheathing	061633	wood board sheathing	Wood/Plastics/Composites	06 00 00
061636	wood panel product sheathing	061636	wood panel product sheathing	Wood/Plastics/Composites	06 00 00
061643	gypsum sheathing	061643	gypsum sheathing	Wood/Plastics/Composites	06 00 00
061653	moisture-resistant sheathing board	061653	moisture-resistant sheathing board	Wood/Plastics/Composites	06 00 00
061663	cementitious sheathing	061663	cementitious sheathing	Wood/Plastics/Composites	06 00 00
061700	shop-fabricated structural wood	061700	shop-fabricated structural wood	Wood/Plastics/Composites	06 00 00
061713	laminated veneer lumber	061713	laminated veneer lumber	Wood/Plastics/Composites	06 00 00
061719	cross-laminated timber	061719	cross-laminated timber	Wood/Plastics/Composites	06 00 00
061723	parallel strand lumber	061723	parallel strand lumber	Wood/Plastics/Composites	06 00 00
061733	wood i-joists	061733	wood i-joists	Wood/Plastics/Composites	06 00 00
061736	metal-web wood joists	061736	metal-web wood joists	Wood/Plastics/Composites	06 00 00
061743	rim boards	061743	rim boards	Wood/Plastics/Composites	06 00 00
061753	shop-fabricated wood trusses	061753	shop-fabricated wood trusses	Wood/Plastics/Composites	06 00 00
061800	glued-laminated construction	061800	glued-laminated construction	Wood/Plastics/Composites	06 00 00
061813	glued-laminated beams	061813	glued-laminated beams	Wood/Plastics/Composites	06 00 00
061816	glued-laminated columns	061816	glued-laminated columns	Wood/Plastics/Composites	06 00 00
062000	finish carpentry	062000	finish carpentry	Wood/Plastics/Composites	06 00 00
062013	exterior finish carpentry	062013	exterior finish carpentry	Wood/Plastics/Composites	06 00 00
062023	interior finish carpentry	062023	interior finish carpentry	Wood/Plastics/Composites	06 00 00
062200	millwork	062200	millwork	Wood/Plastics/Composites	06 00 00
062213	standard pattern wood trim	062213	standard pattern wood trim	Wood/Plastics/Composites	06 00 00
062500	prefinished paneling	062500	prefinished paneling	Wood/Plastics/Composites	06 00 00
062513	prefinished hardboard paneling	062513	prefinished hardboard paneling	Wood/Plastics/Composites	06 00 00
062516	prefinished plywood paneling	062516	prefinished plywood paneling	Wood/Plastics/Composites	06 00 00
062600	board paneling	062600	board paneling	Wood/Plastics/Composites	06 00 00
062613	profile board paneling	062613	profile board paneling	Wood/Plastics/Composites	06 00 00
064000	architectural woodwork	064000	architectural woodwork	Wood/Plastics/Composites	06 00 00
064013	exterior architectural woodwork	064013	exterior architectural woodwork	Wood/Plastics/Composites	06 00 00
064023	interior architectural woodwork	064023	interior architectural woodwork	Wood/Plastics/Composites	06 00 00
064100	architectural wood casework	064100	architectural wood casework	Wood/Plastics/Composites	06 00 00
064113	wood-veneer-faced architectural cabinets	064113	wood-veneer-faced architectural cabinets	Wood/Plastics/Composites	06 00 00
064116	plastic-laminate-clad architectural cabinets	064116	plastic-laminate-clad architectural cabinets	Wood/Plastics/Composites	06 00 00
064193	cabinet and drawer hardware	064193	cabinet and drawer hardware	Wood/Plastics/Composites	06 00 00
064200	wood paneling	064200	wood paneling	Wood/Plastics/Composites	06 00 00
064213	wood board paneling	064213	wood board paneling	Wood/Plastics/Composites	06 00 00
064214	stile and rail wood paneling	064214	stile and rail wood paneling	Wood/Plastics/Composites	06 00 00
064216	flush wood paneling	064216	flush wood paneling	Wood/Plastics/Composites	06 00 00
064219	plastic-laminate-faced wood paneling	064219	plastic-laminate-faced wood paneling	Wood/Plastics/Composites	06 00 00
064300	wood stairs and railings	064300	wood stairs and railings	Wood/Plastics/Composites	06 00 00
064313	wood stairs	064313	wood stairs	Wood/Plastics/Composites	06 00 00
064316	wood railings	064316	wood railings	Wood/Plastics/Composites	06 00 00
064400	ornamental woodwork	064400	ornamental woodwork	Wood/Plastics/Composites	06 00 00
064413	wood turnings	064413	wood turnings	Wood/Plastics/Composites	06 00 00
064416	wood pilasters	064416	wood pilasters	Wood/Plastics/Composites	06 00 00
064419	wood grilles	064419	wood grilles	Wood/Plastics/Composites	06 00 00
064423	wood corbels	064423	wood corbels	Wood/Plastics/Composites	06 00 00
064426	wood cupolas	064426	wood cupolas	Wood/Plastics/Composites	06 00 00
064429	wood finials	064429	wood finials	Wood/Plastics/Composites	06 00 00
064433	wood mantels	064433	wood mantels	Wood/Plastics/Composites	06 00 00
064436	wood pediment heads	064436	wood pediment heads	Wood/Plastics/Composites	06 00 00
064439	wood posts and columns	064439	wood posts and columns	Wood/Plastics/Composites	06 00 00
064600	wood trim	064600	wood trim	Wood/Plastics/Composites	06 00 00
064613	wood door and window casings	064613	wood door and window casings	Wood/Plastics/Composites	06 00 00
064616	wood aprons	064616	wood aprons	Wood/Plastics/Composites	06 00 00
064619	wood base and shoe moldings	064619	wood base and shoe moldings	Wood/Plastics/Composites	06 00 00
064623	wood chair rails	064623	wood chair rails	Wood/Plastics/Composites	06 00 00
064626	wood cornices	064626	wood cornices	Wood/Plastics/Composites	06 00 00
064629	wood fasciae and soffits	064629	wood fasciae and soffits	Wood/Plastics/Composites	06 00 00
064633	wood stops, stools, and sills	064633	wood stops, stools, and sills	Wood/Plastics/Composites	06 00 00
064691	splicing of wooden components	064691	splicing of wooden components	Wood/Plastics/Composites	06 00 00
064800	wood frames	064800	wood frames	Wood/Plastics/Composites	06 00 00
064813	exterior wood door frames	064813	exterior wood door frames	Wood/Plastics/Composites	06 00 00
064816	interior wood door frames	064816	interior wood door frames	Wood/Plastics/Composites	06 00 00
064819	ornamental wood frames	064819	ornamental wood frames	Wood/Plastics/Composites	06 00 00
064823	stick-built wood windows	064823	stick-built wood windows	Wood/Plastics/Composites	06 00 00
064826	wood-veneer frames	064826	wood-veneer frames	Wood/Plastics/Composites	06 00 00
064900	wood screens and shutters	064900	wood screens and shutters	Wood/Plastics/Composites	06 00 00
064913	wood screens	064913	wood screens	Wood/Plastics/Composites	06 00 00
064916	wood blinds	064916	wood blinds	Wood/Plastics/Composites	06 00 00
064919	wood shutters	064919	wood shutters	Wood/Plastics/Composites	06 00 00
065000	structural plastics	065000	structural plastics	Wood/Plastics/Composites	06 00 00
065100	structural plastic shapes and plates	065100	structural plastic shapes and plates	Wood/Plastics/Composites	06 00 00
065113	plastic lumber	065113	plastic lumber	Wood/Plastics/Composites	06 00 00
065200	plastic structural assemblies	065200	plastic structural assemblies	Wood/Plastics/Composites	06 00 00
065300	plastic decking	065300	plastic decking	Wood/Plastics/Composites	06 00 00
065313	solid plastic decking	065313	solid plastic decking	Wood/Plastics/Composites	06 00 00
066000	plastic fabrications	066000	plastic fabrications	Wood/Plastics/Composites	06 00 00
066100	cast polymer fabrications	066100	cast polymer fabrications	Wood/Plastics/Composites	06 00 00
066113	simulated stone fabrications	066113	simulated stone fabrications	Wood/Plastics/Composites	06 00 00
066116	solid surfacing fabrications	066116	solid surfacing fabrications	Wood/Plastics/Composites	06 00 00
066200	plastic foam fabrications	066200	plastic foam fabrications	Wood/Plastics/Composites	06 00 00
066300	plastic railings	066300	plastic railings	Wood/Plastics/Composites	06 00 00
066400	plastic paneling	066400	plastic paneling	Wood/Plastics/Composites	06 00 00
066413	plastic lattice paneling	066413	plastic lattice paneling	Wood/Plastics/Composites	06 00 00
066500	plastic trim	066500	plastic trim	Wood/Plastics/Composites	06 00 00
066600	custom ornamental simulated woodwork	066600	custom ornamental simulated woodwork	Wood/Plastics/Composites	06 00 00
067000	structural composites	067000	structural composites	Wood/Plastics/Composites	06 00 00
067100	structural composite shapes and plates	067100	structural composite shapes and plates	Wood/Plastics/Composites	06 00 00
067113	composite lumber	067113	composite lumber	Wood/Plastics/Composites	06 00 00
067200	composite structural assemblies	067200	composite structural assemblies	Wood/Plastics/Composites	06 00 00
067213	composite joist assemblies	067213	composite joist assemblies	Wood/Plastics/Composites	06 00 00
067223	composite stair assemblies	067223	composite stair assemblies	Wood/Plastics/Composites	06 00 00
067300	composite decking	067300	composite decking	Wood/Plastics/Composites	06 00 00
067313	composite structural decking	067313	composite structural decking	Wood/Plastics/Composites	06 00 00
067400	composite gratings	067400	composite gratings	Wood/Plastics/Composites	06 00 00
067413	fiberglass reinforced gratings	067413	fiberglass reinforced gratings	Wood/Plastics/Composites	06 00 00
068000	composite fabrications	068000	composite fabrications	Wood/Plastics/Composites	06 00 00
068100	composite railings	068100	composite railings	Wood/Plastics/Composites	06 00 00
068113	glass-fiber-reinforced plastic railings	068113	glass-fiber-reinforced plastic railings	Wood/Plastics/Composites	06 00 00
068200	composite trim	068200	composite trim	Wood/Plastics/Composites	06 00 00
068300	composite paneling	068300	composite paneling	Wood/Plastics/Composites	06 00 00
068313	resin composite paneling	068313	resin composite paneling	Wood/Plastics/Composites	06 00 00
068316	fiberglass reinforced paneling	068316	fiberglass reinforced paneling	Wood/Plastics/Composites	06 00 00
070000	thermal and moisture protection	070000	thermal and moisture protection	Thermal & Moisture Protection	07 00 00
070100	operation and maintenance of thermal and moisture protection	070100	operation and maintenance of thermal and moisture protection	Thermal & Moisture Protection	07 00 00
070110	maintenance of dampproofing and waterproofing	070110	maintenance of dampproofing and waterproofing	Thermal & Moisture Protection	07 00 00
070110.81	waterproofing replacement	070110.81	waterproofing replacement	Thermal & Moisture Protection	07 00 00
070120	maintenance of thermal protection	070120	maintenance of thermal protection	Thermal & Moisture Protection	07 00 00
070130	maintenance of steep slope roofing	070130	maintenance of steep slope roofing	Thermal & Moisture Protection	07 00 00
070140	maintenance of roofing and siding panels	070140	maintenance of roofing and siding panels	Thermal & Moisture Protection	07 00 00
070150	maintenance of membrane roofing	070150	maintenance of membrane roofing	Thermal & Moisture Protection	07 00 00
070150.13	roof moisture survey	070150.13	roof moisture survey	Thermal & Moisture Protection	07 00 00
070150.16	roof maintenance program	070150.16	roof maintenance program	Thermal & Moisture Protection	07 00 00
070150.19	preparation for re-roofing	070150.19	preparation for re-roofing	Thermal & Moisture Protection	07 00 00
070150.23	roof removal	070150.23	roof removal	Thermal & Moisture Protection	07 00 00
070150.61	roof re-coating	070150.61	roof re-coating	Thermal & Moisture Protection	07 00 00
070150.81	roof replacement	070150.81	roof replacement	Thermal & Moisture Protection	07 00 00
070150.91	roofing restoration	070150.91	roofing restoration	Thermal & Moisture Protection	07 00 00
070160	maintenance of flashing and sheet metal	070160	maintenance of flashing and sheet metal	Thermal & Moisture Protection	07 00 00
070160.71	flashing and sheet metal rehabilitation	070160.71	flashing and sheet metal rehabilitation	Thermal & Moisture Protection	07 00 00
070160.91	flashing and sheet metal restoration	070160.91	flashing and sheet metal restoration	Thermal & Moisture Protection	07 00 00
070160.92	flashing and sheet metal preservation	070160.92	flashing and sheet metal preservation	Thermal & Moisture Protection	07 00 00
070170	operation and maintenance of roof specialties and accessories	070170	operation and maintenance of roof specialties and accessories	Thermal & Moisture Protection	07 00 00
070180	maintenance of fire and smoke protection	070180	maintenance of fire and smoke protection	Thermal & Moisture Protection	07 00 00
070190	maintenance of joint protection	070190	maintenance of joint protection	Thermal & Moisture Protection	07 00 00
070190.71	joint sealant rehabilitation	070190.71	joint sealant rehabilitation	Thermal & Moisture Protection	07 00 00
070190.81	joint sealant replacement	070190.81	joint sealant replacement	Thermal & Moisture Protection	07 00 00
070300	conservation treatment for period roofing	070300	conservation treatment for period roofing	Thermal & Moisture Protection	07 00 00
070330	conservation treatment for period steep slope roofing	070330	conservation treatment for period steep slope roofing	Thermal & Moisture Protection	07 00 00
070330.13	conservation treatment for period canvas roofing	070330.13	conservation treatment for period canvas roofing	Thermal & Moisture Protection	07 00 00
070330.16	conservation treatment for period board roofing	070330.16	conservation treatment for period board roofing	Thermal & Moisture Protection	07 00 00
070331	conservation treatment for period shingles and shakes	070331	conservation treatment for period shingles and shakes	Thermal & Moisture Protection	07 00 00
070331.16	conservation treatment for period metal shingles	070331.16	conservation treatment for period metal shingles	Thermal & Moisture Protection	07 00 00
070331.26	conservation treatment for period slate shingles	070331.26	conservation treatment for period slate shingles	Thermal & Moisture Protection	07 00 00
070331.29	conservation treatment for period wood shingles and shakes	070331.29	conservation treatment for period wood shingles and shakes	Thermal & Moisture Protection	07 00 00
070332	conservation treatment for period roof tiles	070332	conservation treatment for period roof tiles	Thermal & Moisture Protection	07 00 00
070332.13	conservation treatment for period clay roof tiles	070332.13	conservation treatment for period clay roof tiles	Thermal & Moisture Protection	07 00 00
070332.16	conservation treatment for period concrete roof tiles	070332.16	conservation treatment for period concrete roof tiles	Thermal & Moisture Protection	07 00 00
070332.19	conservation treatment for period metal roof tiles	070332.19	conservation treatment for period metal roof tiles	Thermal & Moisture Protection	07 00 00
070333	conservation treatment for period natural roof coverings	070333	conservation treatment for period natural roof coverings	Thermal & Moisture Protection	07 00 00
070333.13	conservation treatment for period sod roofing	070333.13	conservation treatment for period sod roofing	Thermal & Moisture Protection	07 00 00
070340	conservation treatment for period roofing and siding panels	070340	conservation treatment for period roofing and siding panels	Thermal & Moisture Protection	07 00 00
070341	conservative treatment for period roof panels	070341	conservative treatment for period roof panels	Thermal & Moisture Protection	07 00 00
070341.13	conservation treatment for period metal roof panels	070341.13	conservation treatment for period metal roof panels	Thermal & Moisture Protection	07 00 00
070341.23	conservation treatment for period wood roof panels	070341.23	conservation treatment for period wood roof panels	Thermal & Moisture Protection	07 00 00
070346	conservation treatment for period wood siding	070346	conservation treatment for period wood siding	Thermal & Moisture Protection	07 00 00
070360	conservation treatment of period flashing and sheet metal	070360	conservation treatment of period flashing and sheet metal	Thermal & Moisture Protection	07 00 00
070361	conservation treatment for period sheet metal roofing	070361	conservation treatment for period sheet metal roofing	Thermal & Moisture Protection	07 00 00
070361.13	conservation treatment for period standing seam sheet metal roofing	070361.13	conservation treatment for period standing seam sheet metal roofing	Thermal & Moisture Protection	07 00 00
070361.16	conservation treatment for period batten seam sheet metal roofing	070361.16	conservation treatment for period batten seam sheet metal roofing	Thermal & Moisture Protection	07 00 00
070361.19	conservation treatment for period flat seam sheet metal roofing	070361.19	conservation treatment for period flat seam sheet metal roofing	Thermal & Moisture Protection	07 00 00
070500	common work results for thermal and moisture protection	070500	common work results for thermal and moisture protection	Thermal & Moisture Protection	07 00 00
070505	selective demolition for thermal and moisture protection	070505	selective demolition for thermal and moisture protection	Thermal & Moisture Protection	07 00 00
070543	cladding support systems	070543	cladding support systems	Thermal & Moisture Protection	07 00 00
070553	fire and smoke assembly identification	070553	fire and smoke assembly identification	Thermal & Moisture Protection	07 00 00
070600	schedules for thermal and moisture protection	070600	schedules for thermal and moisture protection	Thermal & Moisture Protection	07 00 00
070610	schedules for dampproofing and waterproofing	070610	schedules for dampproofing and waterproofing	Thermal & Moisture Protection	07 00 00
070620	schedules for thermal protection	070620	schedules for thermal protection	Thermal & Moisture Protection	07 00 00
070630	schedules for steep slope roofing	070630	schedules for steep slope roofing	Thermal & Moisture Protection	07 00 00
070640	schedules for roofing and siding panels	070640	schedules for roofing and siding panels	Thermal & Moisture Protection	07 00 00
070650	schedules for membrane roofing	070650	schedules for membrane roofing	Thermal & Moisture Protection	07 00 00
070660	schedules for flashing and sheet metal	070660	schedules for flashing and sheet metal	Thermal & Moisture Protection	07 00 00
070670	schedules for roof specialties and accessories	070670	schedules for roof specialties and accessories	Thermal & Moisture Protection	07 00 00
070680	schedules for fire and smoke protection	070680	schedules for fire and smoke protection	Thermal & Moisture Protection	07 00 00
070680.13	fireproofing schedule	070680.13	fireproofing schedule	Thermal & Moisture Protection	07 00 00
070680.16	firestopping schedule	070680.16	firestopping schedule	Thermal & Moisture Protection	07 00 00
070690	schedules for joint protection	070690	schedules for joint protection	Thermal & Moisture Protection	07 00 00
070690.13	joint sealant schedule	070690.13	joint sealant schedule	Thermal & Moisture Protection	07 00 00
070800	commissioning of thermal and moisture protection	070800	commissioning of thermal and moisture protection	Thermal & Moisture Protection	07 00 00
071000	dampproofing and waterproofing	071000	dampproofing and waterproofing	Thermal & Moisture Protection	07 00 00
071100	dampproofing	071100	dampproofing	Thermal & Moisture Protection	07 00 00
071113	bituminous dampproofing	071113	bituminous dampproofing	Thermal & Moisture Protection	07 00 00
071116	cementitious dampproofing	071116	cementitious dampproofing	Thermal & Moisture Protection	07 00 00
071119	sheet dampproofing	071119	sheet dampproofing	Thermal & Moisture Protection	07 00 00
071200	built-up bituminous waterproofing	071200	built-up bituminous waterproofing	Thermal & Moisture Protection	07 00 00
071213	built-up asphalt waterproofing	071213	built-up asphalt waterproofing	Thermal & Moisture Protection	07 00 00
071216	built-up coal tar waterproofing	071216	built-up coal tar waterproofing	Thermal & Moisture Protection	07 00 00
071300	sheet waterproofing	071300	sheet waterproofing	Thermal & Moisture Protection	07 00 00
071313	bituminous sheet waterproofing	071313	bituminous sheet waterproofing	Thermal & Moisture Protection	07 00 00
071326	self-adhering sheet waterproofing	071326	self-adhering sheet waterproofing	Thermal & Moisture Protection	07 00 00
071352	modified bituminous sheet waterproofing	071352	modified bituminous sheet waterproofing	Thermal & Moisture Protection	07 00 00
071353	elastomeric sheet waterproofing	071353	elastomeric sheet waterproofing	Thermal & Moisture Protection	07 00 00
071354	thermoplastic sheet waterproofing	071354	thermoplastic sheet waterproofing	Thermal & Moisture Protection	07 00 00
071400	fluid-applied waterproofing	071400	fluid-applied waterproofing	Thermal & Moisture Protection	07 00 00
071413	hot fluid-applied rubberized asphalt waterproofing	071413	hot fluid-applied rubberized asphalt waterproofing	Thermal & Moisture Protection	07 00 00
071414	hot fluid-applied polyurea waterproofing	071414	hot fluid-applied polyurea waterproofing	Thermal & Moisture Protection	07 00 00
071416	cold fluid-applied waterproofing	071416	cold fluid-applied waterproofing	Thermal & Moisture Protection	07 00 00
071500	sheet metal waterproofing	071500	sheet metal waterproofing	Thermal & Moisture Protection	07 00 00
071513	sheet lead waterproofing	071513	sheet lead waterproofing	Thermal & Moisture Protection	07 00 00
071600	cementitious and reactive waterproofing	071600	cementitious and reactive waterproofing	Thermal & Moisture Protection	07 00 00
071613	polymer modified cement waterproofing	071613	polymer modified cement waterproofing	Thermal & Moisture Protection	07 00 00
071616	crystalline waterproofing	071616	crystalline waterproofing	Thermal & Moisture Protection	07 00 00
071619	metal oxide waterproofing	071619	metal oxide waterproofing	Thermal & Moisture Protection	07 00 00
071700	bentonite waterproofing	071700	bentonite waterproofing	Thermal & Moisture Protection	07 00 00
071713	bentonite panel waterproofing	071713	bentonite panel waterproofing	Thermal & Moisture Protection	07 00 00
071716	bentonite composite sheet waterproofing	071716	bentonite composite sheet waterproofing	Thermal & Moisture Protection	07 00 00
071800	traffic coatings	071800	traffic coatings	Thermal & Moisture Protection	07 00 00
071813	pedestrian traffic coatings	071813	pedestrian traffic coatings	Thermal & Moisture Protection	07 00 00
071816	vehicular traffic coatings	071816	vehicular traffic coatings	Thermal & Moisture Protection	07 00 00
071900	water repellents	071900	water repellents	Thermal & Moisture Protection	07 00 00
071913	acrylic water repellents	071913	acrylic water repellents	Thermal & Moisture Protection	07 00 00
071916	silane water repellents	071916	silane water repellents	Thermal & Moisture Protection	07 00 00
071919	silicone water repellents	071919	silicone water repellents	Thermal & Moisture Protection	07 00 00
071923	siloxane water repellents	071923	siloxane water repellents	Thermal & Moisture Protection	07 00 00
071926	stearate water repellents	071926	stearate water repellents	Thermal & Moisture Protection	07 00 00
071929	penetrating polyester water repellents	071929	penetrating polyester water repellents	Thermal & Moisture Protection	07 00 00
072000	thermal protection	072000	thermal protection	Thermal & Moisture Protection	07 00 00
072100	thermal insulation	072100	thermal insulation	Thermal & Moisture Protection	07 00 00
072113	board insulation	072113	board insulation	Thermal & Moisture Protection	07 00 00
072113.13	foam board insulation	072113.13	foam board insulation	Thermal & Moisture Protection	07 00 00
072113.16	fibrous board insulation	072113.16	fibrous board insulation	Thermal & Moisture Protection	07 00 00
072113.19	mineral board insulation	072113.19	mineral board insulation	Thermal & Moisture Protection	07 00 00
072116	blanket insulation	072116	blanket insulation	Thermal & Moisture Protection	07 00 00
072119	foamed-in-place insulation	072119	foamed-in-place insulation	Thermal & Moisture Protection	07 00 00
072123	loose-fill insulation	072123	loose-fill insulation	Thermal & Moisture Protection	07 00 00
072126	blown insulation	072126	blown insulation	Thermal & Moisture Protection	07 00 00
072129	sprayed insulation	072129	sprayed insulation	Thermal & Moisture Protection	07 00 00
072153	reflective insulation	072153	reflective insulation	Thermal & Moisture Protection	07 00 00
072163	fluid-applied insulative coating	072163	fluid-applied insulative coating	Thermal & Moisture Protection	07 00 00
072200	roof and deck insulation	072200	roof and deck insulation	Thermal & Moisture Protection	07 00 00
072213	asphaltic perlite concrete deck	072213	asphaltic perlite concrete deck	Thermal & Moisture Protection	07 00 00
072216	roof board insulation	072216	roof board insulation	Thermal & Moisture Protection	07 00 00
072400	exterior insulation and finish systems	072400	exterior insulation and finish systems	Thermal & Moisture Protection	07 00 00
072413	polymer-based exterior insulation and finish system	072413	polymer-based exterior insulation and finish system	Thermal & Moisture Protection	07 00 00
072416	polymer-modified exterior insulation and finish system	072416	polymer-modified exterior insulation and finish system	Thermal & Moisture Protection	07 00 00
