1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
004123	bid form - construction management (single-prime contract)	004123	bid form - construction management (single-prime contract)	Procurement	00 00 00
004126	bid form - construction management (multiple-prime contract)	004126	bid form - construction management (multiple-prime contract)	Procurement	00 00 00
004133	bid form - cost-plus-fee (single-prime contract)	004133	bid form - cost-plus-fee (single-prime contract)	Procurement	00 00 00
004136	bid form - cost-plus-fee (multiple-prime contract)	004136	bid form - cost-plus-fee (multiple-prime contract)	Procurement	00 00 00
004143	bid form - unit price (single-prime contract)	004143	bid form - unit price (single-prime contract)	Procurement	00 00 00
004146	bid form - unit price (multiple-prime contract)	004146	bid form - unit price (multiple-prime contract)	Procurement	00 00 00
004153	bid form - design/build (single-prime contract)	004153	bid form - design/build (single-prime contract)	Procurement	00 00 00
004156	bid form - design/build (multiple-prime contract)	004156	bid form - design/build (multiple-prime contract)	Procurement	00 00 00
004163	bid form - purchase contract	004163	bid form - purchase contract	Procurement	00 00 00
004200	proposal forms	004200	proposal forms	Procurement	00 00 00
004213	proposal form - stipulated sum (single-prime contract)	004213	proposal form - stipulated sum (single-prime contract)	Procurement	00 00 00
004216	proposal form - stipulated sum (multiple-prime contract)	004216	proposal form - stipulated sum (multiple-prime contract)	Procurement	00 00 00
004223	proposal form - construction management (single-prime contract)	004223	proposal form - construction management (single-prime contract)	Procurement	00 00 00
004226	proposal form - construction management (multiple-prime contract)	004226	proposal form - construction management (multiple-prime contract)	Procurement	00 00 00
004233	proposal form - cost-plus-fee (single-prime contract)	004233	proposal form - cost-plus-fee (single-prime contract)	Procurement	00 00 00
004236	proposal form - cost-plus-fee (multiple-prime contract)	004236	proposal form - cost-plus-fee (multiple-prime contract)	Procurement	00 00 00
004243	proposal form - unit price (single-prime contract)	004243	proposal form - unit price (single-prime contract)	Procurement	00 00 00
004246	proposal form - unit price (multiple-prime contract)	004246	proposal form - unit price (multiple-prime contract)	Procurement	00 00 00
004253	proposal form - design/build (single-prime contract)	004253	proposal form - design/build (single-prime contract)	Procurement	00 00 00
004256	proposal form - design/build (multiple-prime contract)	004256	proposal form - design/build (multiple-prime contract)	Procurement	00 00 00
004263	proposal form - purchase contract	004263	proposal form - purchase contract	Procurement	00 00 00
004273	proposal form - performance contract	004273	proposal form - performance contract	Procurement	00 00 00
004300	procurement form supplements	004300	procurement form supplements	Procurement	00 00 00
004313	bid security form	004313	bid security form	Procurement	00 00 00
004321	allowance form	004321	allowance form	Procurement	00 00 00
