1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
1730	Selective Demolition	02 41 13	Selective Site Demolition	Demolition	2
1730	Selective Demolition	02 41 19	Selective Structure Demolition	Demolition	2
2000	SITE CONSTRUCTION	02 00 00	Existing Conditions	Sitework	2
2000	SITE CONSTRUCTION	31 00 00	Earthwork	Sitework	2
2000	SITE CONSTRUCTION	32 00 00	Exterior Improvements	Sitework	2
2000	SITE CONSTRUCTION	33 00 00	Utilities	Sitework	2
2000	SITE CONSTRUCTION	35 00 00	Waterway and Marine Construction	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	02 05 00	Common Work Results for Existing Conditions	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	31 05 00	Common Work Results for Earthwork	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	32 05 00	Common Work Results for Exterior Improvements	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	33 05 00	Common Work Results for Utilities	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	35 05 00	Common Work Results for Waterway and Marine Construction	Sitework	2
2055	Soils	31 05 13	Soils for Earthwork	Sitework	2
2055	Soils	32 05 13	Soils for Exterior Improvements	Sitework	2
2060	Aggregate	31 05 16	Aggregates for Earthwork	Sitework	2
2060	Aggregate	32 05 16	Aggregates for Exterior Improvements	Sitework	2
2065	Asphalt Cement	32 05 23	Cement and Concrete for Exterior Improvements	Sitework	2
2065	Cement and Concrete	31 05 23	Cement and Concrete for Earthwork	Sitework	2
2065	Cement and Concrete	32 05 23	Cement and Concrete for Exterior Improvements	Sitework	2
2065	Hydraulic Cement	32 05 23	Cement and Concrete for Exterior Improvements	Sitework	2
2065	Plant-Mixed Bituminous Concrete	32 12 16	Asphalt Paving	Sitework	2
2065	Recycled Plant-Mixed Bituminous Concrete	32 12 16	Asphalt Paving	Sitework	2
2070	Geocomposite Edge Drains	33 46 00	Subdrainage	Sitework	2
2070	Geocomposite In-Place Wall Drains	33 46 00	Subdrainage	Sitework	2
2070	Geogrids	31 05 19.19	Geogrids for Earthwork	Sitework	2
2070	Geogrids	32 05 19.19	Geogrids for Exterior Improvements	Sitework	2
2070	Geosynthetics	31 05 19	Geosynthetics for Earthwork	Sitework	2
2070	Geosynthetics	32 05 19	Geosynthetics for Exterior Improvements	Sitework	2
2070	Geotextiles	31 05 19.13	Geotextiles for Earthwork	Sitework	2
2070	Geotextiles	32 05 19.13	Geotextiles for Exterior Improvements	Sitework	2
2080	Hydrants	21 11 16	Facility Fire Hydrants	Sitework	2
2080	Hydrants	33 12 19	Water Utility Distribution Fire Hydrants	Sitework	2
2080	Manholes	33 05 13	Manholes and Structures	Sitework	2
2080	Meters	26 27 13	Electricity Metering	Sitework	2
2080	Meters	33 51 33	Natural-Gas Metering	Sitework	2
2080	Meters	33 63 33	Steam Energy Distribution Metering	Sitework	2
2080	Meters	33 71 73.33	Electric Meters	Sitework	2
2080	Utility Boxes	33 05 13	Manholes and Structures	Sitework	2
2080	Utility Materials	33 05 00	Common Work Results for Utilities	Sitework	2
2080	Valves	33 05 00	Common Work Results for Utilities	Sitework	2
2090	Joint Material	32 05 00	Common Work Results for Exterior Improvements	Sitework	2
2100	SITE REMEDIATION	02 50 00	Site Remediation	Sitework	2
2105	Chemical Sampling and Analysis	02 24 23	Chemical Sampling and Analysis of Soils	Sitework	2
2110	Excavation, Removal, and Handling of Hazardous Materials	02 81 00	Transportation and Disposal of Hazardous Materials	Sitework	2
2115	Underground Storage Tank Removal	02 65 00	Underground Storage Tank Removal	Sitework	2
2120	Off-Site Transportation and Disposal	02 81 00	Transportation and Disposal of Hazardous Materials	Sitework	2
2125	Drum Handling	02 86 00	Hazardous Waste Drum Handling	Sitework	2
2130	Site Decontamination	02 60 00	Contaminated Site Material Removal	Sitework	2
2140	Landfill Construction and Storage	02 66 00	Landfill Construction and Storage	Sitework	2
2145	Groundwater Treatment Systems	02 71 00	Groundwater Treatment	Sitework	2
2150	Air and Steam Stripping	02 62 13	Air and Steam Stripping	Sitework	2
2150	Hazardous Waste Recovery Processes	02 62 00	Hazardous Waste Recovery Processes	Sitework	2
2150	Soil Vapor Extraction	02 62 16	Soil Vapor Extraction	Sitework	2
2150	Soil Washing and Flushing	02 62 19	Soil Washing and Flushing	Sitework	2
2160	Coagulation and Flocculation	02 51 13	Coagulation and Flocculation Decontamination	Sitework	2
2160	Physical Treatment	02 51 00	Physical Decontamination	Sitework	2
2160	Reverse Osmosis	02 51 16	Reverse-Osmosis Decontamination	Sitework	2
2160	Solidification and Stabilization	02 51 19	Solidification and Stabilization Decontamination	Sitework	2
2170	Chemical Precipitation	02 52 13	Chemical Precipitation Decontamination	Sitework	2
2170	Chemical Treatment	02 52 00	Chemical Decontamination	Sitework	2
2170	Ion Exchange	02 52 16	Ion Change Decontamination	Sitework	2
2170	Neutralization	02 52 19	Neutralization Decontamination	Sitework	2
2180	Incineration	02 53 13	Incineration Decontamination	Sitework	2
2180	Thermal Desorption	02 53 16	Thermal Desorption Decontamination	Sitework	2
2180	Thermal Processes	02 53 00	Thermal Decontamination	Sitework	2
2180	Vitrification	02 53 19	Vitrification Decontamination	Sitework	2
2190	Aerobic Processes	02 54 13	Aerobic Processes Decontamination	Sitework	2
2190	Anaerobic Processes	02 54 16	Anaerobic Processes Decontamination	Sitework	2
2190	Biological Processes	02 54 00	Biological Decontamination	Sitework	2
2190	Bio-Remediation	02 54 19	Bioremediation Decontamination	Sitework	2
2195	Remediation Soil Stabilization	02 55 00	Remediation Soil Stabilization	Sitework	2
2200	SITE PREPARATION	31 10 00	Site Clearing	Sitework	2
2210	Boring and Exploratory Drilling	02 32 13	Subsurface Drilling and Sampling	Sitework	2
2210	Core Drilling	02 32 13	Subsurface Drilling and Sampling	Sitework	2
2210	Geophysical Investigations	02 31 00	Geophysical Investigations	Sitework	2
2210	Groundwater Monitoring	02 32 23.13	Groundwater Monitoring Before Construction	Sitework	2
2210	Groundwater Monitoring	31 09 13.13	Groundwater Monitoring During Construction	Sitework	2
2210	Seismic Investigation	02 31 13	Seismic Investigations	Sitework	2
2210	Standard Penetration Testing	02 32 16	Material Testing	Sitework	2
2210	Subsurface Investigation	02 30 00	Subsurface Investigation	Sitework	2
2210	Test Pits	02 32 19	Exploratory Excavations	Sitework	2
2220	Building Demolition	02 41 16.13	Building Demolition	Sitework	2
2220	Minor Site Demolition for Remodeling	02 41 19	Selective Structure Demolition	Sitework	2
2220	Selective Site Demolition	02 41 13	Selective Site Demolition	Sitework	2
2220	Site Demolition	02 41 00	Demolition	Sitework	2
2230	Clearing and Grubbing	31 11 00	Clearing and Grubbing	Sitework	2
2230	Selective Clearing	31 12 00	Selective Clearing	Sitework	2
2230	Selective Tree Removal and Trimming	31 13 00	Selective Tree and Shrub Removal and Trimming	Sitework	2
2230	Site Clearing	31 10 00	Site Clearing	Sitework	2
2230	Sod Stripping	31 14 16	Sod Stripping and Stockpiling	Sitework	2
2230	Stripping and Stockpiling of Soil	31 14 13	Soil Stripping and Stockpiling	Sitework	2
2230	Tree Pruning	31 13 16	Selective Tree and Shrub Trimming	Sitework	2
2240	Dewatering	31 23 19	Dewatering	Sitework	2
2250	Foundation Grouting	31 43 13	Pressure Grouting	Sitework	2
2250	Grillages	31 40 00	Shoring and Underpinning	Sitework	2
2250	Needle Beams	31 46 00	Needle Beams	Sitework	2
2250	Sheetpiling	31 41 16	Sheet Piling	Sitework	2
2250	Shoring	31 41 00	Shoring	Sitework	2
2250	Shoring and Underpinning	31 40 00	Shoring and Underpinning	Sitework	2
2250	Slabjacking	31 43 13	Pressure Grouting	Sitework	2
2250	Soil Stabilization	31 32 00	Soil Stabilization	Sitework	2
2250	Underpinning	31 48 00	Underpinning	Sitework	2
2250	Vibroflotation and Densification	31 45 00	Vibroflotation and Densification	Sitework	2
2260	Anchor Tiebacks	31 51 00	Anchor Tiebacks	Sitework	2
2260	Cofferdams	31 52 00	Cofferdams	Sitework	2
2260	Cribbing and Walers	31 53 00	Cribbing and Walers	Sitework	2
2260	Excavation Support and Protection	31 50 00	Excavation Support and Protection	Sitework	2
2260	Ground Freezing	31 54 00	Ground Freezing	Sitework	2
2260	Reinforced Earth	31 34 00	Soil Reinforcement	Sitework	2
2260	Slurry Wall Construction	31 56 00	Slurry Walls	Sitework	2
2260	Soil and Rock Anchors	31 51 13	Excavation Soil Anchors	Sitework	2
2260	Soil and Rock Anchors	31 51 16	Excavation Rock Anchors	Sitework	2
2280	Grade Adjustment and Abandonment of Existing Miscellaneous Structures	33 05 13.13	Manhole Grade Adjustment	Sitework	2
2285	Rebuilt Miscellaneous Structures	33 05 16	Utility Structures	Sitework	2
2290	Site Monitoring	31 09 00	Geotechnical Instrumentation and Monitoring of Earthwork	Sitework	2
2300	EARTHWORK	31 20 00	Earth Moving	Sitework	2
2310	Finish Grading	31 22 19	Finish Grading	Sitework	2
2310	Grading	31 22 00	Grading	Sitework	2
2310	Rough Grading	31 22 13	Rough Grading	Sitework	2
2315	Backfill	31 23 23.13	Backfill	Sitework	2
2315	Borrow Excavation	31 23 16	Excavation	Sitework	2
2315	Compaction	31 23 23.23	Compaction	Sitework	2
2315	Excavation	31 23 16	Excavation	Sitework	2
2315	Excavation and Fill	31 23 00	Excavation and Fill	Sitework	2
2315	Fill	31 23 23	Fill	Sitework	2
2315	Trenching	31 23 16.13	Trenching	Sitework	2
2325	Dredging	35 20 23	Dredging	Sitework	2
2330	Armoring	31 35 23	Slope Protection with Slope Paving	Sitework	2
2330	Earth Dams	35 73 13	Earth Embankment Dam	Sitework	2
2330	Embankment	31 24 00	Embankments	Sitework	2
2330	Soil Embankment	31 24 00	Embankments	Sitework	2
2335	Pre-watering of Excavation Areas	31 23 16	Excavation	Sitework	2
2335	Reconditioning	32 11 13.13	Lime-Treated Subgrades	Sitework	2
2335	Reconditioning	32 11 13.16	Bituminous-Treated Subgrades	Sitework	2
2335	Subgrade and Roadbed	32 11 13	Subgrade Modifications	Sitework	2
2335	Subgrade Modification	31 22 16.13	Roadway Subgrade Reshaping	Sitework	2
2335	Subgrade Modification	32 11 13	Subgrade Modifications	Sitework	2
2340	Asphalt Soil Stabilization	31 32 13.13	Asphalt Soil Stabilization	Sitework	2
2340	Cement Soil Stabilization	31 32 13.16	Cement Soil Stabilization	Sitework	2
2340	Geotextile Soil Stabilization and Layer Separation	31 32 19	Geosynthetic Soil Stabilization and Layer Separation	Sitework	2
2340	Lime Slurry Soil Stabilization	31 32 33	Shotcrete Soil Slope Stabilization	Sitework	2
2340	Lime Soil Stabilization	31 32 13.19	Lime Soil Stabilization	Sitework	2
2340	Pressure Grouting Soil Stabilization	31 32 23	Pressure Grouting Soil Stabilization	Sitework	2
2340	Soil Stabilization	31 32 00	Soil Stabilization	Sitework	2
2360	Rodent Control	31 31 13	Rodent Control	Sitework	2
2360	Soil Treatment	31 31 00	Soil Treatment	Sitework	2
2360	Termite Control	31 31 16	Termite Control	Sitework	2
2360	Vegetation Control	31 31 19	Vegetation Control	Sitework	2
2370	Cement Concrete Paving for Stream Beds	31 25 00	Erosion and Sedimentation Controls	Sitework	2
2370	Erosion and Sedimentation Control	31 25 00	Erosion and Sedimentation Controls	Sitework	2
2370	Erosion Control Blankets and Mats	31 25 13	Erosion Controls	Sitework	2
2370	Gabions	31 36 00	Gabions	Sitework	2
2370	Geogrids	31 32 19.13	Geogrid Soil Stabilization	Sitework	2
2370	Geotextile Sedimentation and Erosion	31 25 13	Erosion Controls	Sitework	2
2370	Geotextile Sedimentation and Erosion	31 25 53	Sedimentation Controls	Sitework	2
2370	Mulch Control Netting	31 35 19.19	Slope Protection with Mulch Control Netting	Sitework	2
2370	Paved Energy Dissipators	31 25 00	Erosion and Sedimentation Controls	Sitework	2
2370	Riprap and Rock Lining	31 37 00	Riprap	Sitework	2
2370	Rock Barriers	31 25 23	Rock Barriers	Sitework	2
2370	Rock Basins	31 25 63	Rock Basins	Sitework	2
2370	Rock Energy Dissipators	31 25 00	Erosion and Sedimentation Controls	Sitework	2
2370	Slope Paving	31 35 23	Slope Protection with Slope Paving	Sitework	2
2370	Synthetic Erosion Control and Revegetation Mats	31 35 19	Geosynthetic Slope Protection	Sitework	2
2370	Turf Reinforcement Mats	31 25 00	Erosion and Sedimentation Controls	Sitework	2
2370	Water Course and Slope Erosion Protection	35 42 00	Waterway Bank Protection	Sitework	2
2380	Scour Protection	35 43 00	Waterway Scour Protection	Sitework	2
2390	Breakwaters	35 31 23	Breakwaters	Sitework	2
2390	Groins	35 31 29	Groins	Sitework	2
2390	Jetties	35 31 26	Jetties	Sitework	2
2390	Moles	35 31 00	Shoreline Protection	Sitework	2
2390	Revetments	35 31 19	Revetments	Sitework	2
2390	Seawalls	35 31 16	Seawalls	Sitework	2
2390	Shoreline Protection and Mooring Structures	35 31 00	Shoreline Protection	Sitework	2
2400	TUNNELING, BORING, AND JACKING	31 70 00	Tunneling and Mining	Sitework	2
2410	Compressed Air Tunneling	31 71 00	Tunnel Excavation	Sitework	2
2410	Muck Disposal	31 71 00	Tunnel Excavation	Sitework	2
2410	Rock Excavation - Drill and Blast	31 71 16	Tunnel Excavation by Drilling and Blasting	Sitework	2
2410	Rock Excavation - Tunnel Boring Machine (TBM)	31 71 19	Tunnel Excavation by Tunnel Boring Machine	Sitework	2
2410	Soft Ground Shield-Driven Tunneling	31 71 13	Shield Driving Tunnel Excavation	Sitework	2
2410	Tunnel Excavation	31 71 00	Tunnel Excavation	Sitework	2
2420	Initial Tunnel Support Systems	31 72 00	Tunnel Support Systems	Sitework	2
2420	Prefabricated Steel Tunnel Linings	31 74 00	Tunnel Construction	Sitework	2
2420	Rock Bolting	31 72 13	Rock Reinforcement and Initial Support	Sitework	2
2420	Steel Ribs and Lagging	31 72 16	Steel Ribs and Lagging	Sitework	2
2425	Cast-in-Place Concrete Tunnel Linings	31 74 13	Cast-in-Place Concrete Tunnel Lining	Sitework	2
2425	Precast Concrete Tunnel Lining	31 74 16	Precast Concrete Tunnel Lining	Sitework	2
2425	Tunnel Linings	31 74 00	Tunnel Construction	Sitework	2
2430	Earth Stabilization Chemical Grouting	31 73 16	Chemical Tunnel Grouting	Sitework	2
2430	Rock Seam Pressure Grouting	31 73 00	Tunnel Grouting	Sitework	2
2430	Tunnel Grouting	31 73 00	Tunnel Grouting	Sitework	2
2430	Tunnel Liner Grouting	31 73 13	Cement Tunnel Grouting	Sitework	2
2440	Immersed and Sunken Tube Tunnels	31 77 00	Submersible Tube Tunnels	Sitework	2
2441	Microtunneling	33 05 23.19	Microtunneling	Sitework	2
2442	Cut and Cover Tunnels	31 70 00	Tunneling and Mining	Sitework	2
2443	Tunnel Leak Repairs	31 01 70.61	Tunnel Leak Repairs	Sitework	2
2444	Shaft Construction	31 75 00	Shaft Construction	Sitework	2
2445	Boring or Jacking Conduits	33 05 23.16	Utility Pipe Jacking	Sitework	2
2450	FOUNDATION AND LOAD-BEARING ELEMENTS	31 60 00	Special Foundations and Load-Bearing Elements	Sitework	2
2455	Cast-in-Place Concrete Piles	31 62 13.13	Cast-in-Place Concrete Piles	Sitework	2
2455	Composite Piles	31 62 23	Composite Piles	Sitework	2
2455	Concrete Displacement Piles	31 62 13.16	Concrete Displacement Piles	Sitework	2
2455	Concrete-Filled Steel Piles	31 62 23.13	Concrete-Filled Steel Piles	Sitework	2
2455	Driven Pile Load Tests	31 09 16.23	Driven Pile Load Tests	Sitework	2
2455	Driven Pile Repairs	31 01 62.61	Driven Pile Repairs	Sitework	2
2455	Driven Piles	31 62 00	Driven Piles	Sitework	2
2455	Precast Concrete Piles	31 62 13.19	Precast Concrete Piles	Sitework	2
2455	Prestressed Concrete Piles	31 62 13.23	Prestressed Concrete Piles	Sitework	2
2455	Sheet Piles	31 62 16.13	Sheet Steel Piles	Sitework	2
2455	Steel H Piles	31 62 16.16	Steel H Piles	Sitework	2
2455	Timber Piles	31 62 19	Timber Piles	Sitework	2
2455	Unfilled Tubular Steel Piles	31 62 16.19	Unfilled Tubular Steel Piles	Sitework	2
2465	Auger Cast Grout Piles	31 63 16	Auger Cast Grout Piles	Sitework	2
2465	Bored and Augered Pile Load Tests	31 09 16.26	Bored and Augered Pile Load Tests	Sitework	2
2465	Bored and Augered Pile Repairs	31 01 63.61	Bored and Augered Pile Repairs	Sitework	2
2465	Bored and Augered Test Piles	31 63 13	Bored and Augered Test Piles	Sitework	2
2465	Bored and Belled Concrete Piles	31 63 23.13	Bored and Belled Concrete Piles	Sitework	2
2465	Bored and Socketed Piles	31 63 19	Bored and Socketed Piles	Sitework	2
2465	Bored Friction Concrete Piles	31 63 23.16	Bored Friction Concrete Piles	Sitework	2
2465	Bored Piles	31 63 00	Bored Piles	Sitework	2
2465	Drilled Caissons	31 63 26	Drilled Caissons	Sitework	2
2465	Drilled Concrete Piers and Shafts	31 63 29	Drilled Concrete Piers and Shafts	Sitework	2
2465	Uncased Cast-in-Place Concrete Piles	31 63 29.13	Uncased Drilled Concrete Piers	Sitework	2
2475	Box Caissons	31 64 13	Box Caissons	Sitework	2
2475	Caissons	31 64 00	Caissons	Sitework	2
2475	Excavated Caissons	31 64 16	Excavated Caissons	Sitework	2
2475	Floating Caissons	31 64 19	Floating Caissons	Sitework	2
2475	Open Caissons	31 64 23	Open Caissons	Sitework	2
2475	Pneumatic Caissons	31 64 26	Pneumatic Caissons	Sitework	2
2475	Sheeted Caissons	31 64 29	Sheeted Caissons	Sitework	2
2480	Anchored Walls	31 66 16.13	Anchored Foundation Walls	Sitework	2
2480	Concrete Cribbing	31 66 16.23	Concrete Cribbing Foundation Walls	Sitework	2
2480	Foundation Walls	31 66 16	Special Foundation Walls	Sitework	2
2480	Manufactured Modular Walls	31 66 16.33	Manufactured Modular Foundation Walls	Sitework	2
2480	Mechanically Stabilized Earth Walls	31 66 16.43	Mechanically Stabilized Earth Foundation Walls	Sitework	2
2480	Metal Cribbing	31 66 16.26	Metal Cribbing Foundation Walls	Sitework	2
2480	Permanently Anchored Soldier-Beam Walls	31 66 16.56	Permanently-Anchored Soldier-Beam Foundation Walls	Sitework	2
2480	Slurry Diaphragm Foundation Walls	31 66 16.46	Slurry Diaphragm Foundation Walls	Sitework	2
2480	Soldier-Beam Walls	31 66 16.53	Soldier-Beam Foundation Walls	Sitework	2
2490	Anchors	31 68 00	Foundation Anchors	Sitework	2
2490	Rock Anchors	31 68 13	Rock Foundation Anchors	Sitework	2
2495	Foundation Performance Instrumentation	31 09 16.13	Foundation Performance Instrumentation	Sitework	2
2495	Instrumentation and Monitoring	31 09 16	Special Foundation and Load Bearing Elements Instrumentation and Monitoring	Sitework	2
2500	UTILITY SERVICES	33 00 00	Utilities	Sitework	2
2510	Cisterns	33 10 00	Water Utilities	Sitework	2
2510	Disinfection of Water Distribution	33 13 00	Disinfecting of Water Utility Distribution	Sitework	2
2510	Fire Suppression Water Distribution	33 11 19	Fire Suppression Utility Water Distribution Piping	Sitework	2
2510	Site Water	33 11 16	Site Water Utility Distribution Piping	Sitework	2
2510	Water Distribution	33 11 00	Water Utility Distribution Piping	Sitework	2
2510	Water Supply	33 11 13	Public Water Utility Distribution Piping	Sitework	2
2520	Extraction Wells	33 23 00	Extraction Wells	Sitework	2
2520	Monitoring Wells	33 24 00	Monitoring Wells	Sitework	2
2520	Recharge Wells	33 25 00	Recharge Wells	Sitework	2
2520	Test Wells	33 22 00	Test Wells	Sitework	2
2520	Water Supply Wells	33 21 00	Water Supply Wells	Sitework	2
2520	Well Abandonment	33 29 00	Well Abandonment	Sitework	2
2520	Wells	33 20 00	Wells	Sitework	2
2530	Gauging Stations	33 30 00	Sanitary Sewerage Utilities	Sitework	2
2530	Packaged Lift Stations	33 32 13	Packaged Utility Lift Stations	Sitework	2
2530	Packaged Pumping Stations	33 32 16	Packaged Utility Wastewater Pumping Stations	Sitework	2
2530	Packaged Pumping Stations	33 32 16.13	Packaged Sewage Grinder Pumping Units	Sitework	2
2530	Packaged Pumping Stations	33 32 19	Public Utility Wastewater Pumping Stations	Sitework	2
2530	Sanitary Cleanouts	33 39 23	Sanitary Utility Sewerage Cleanouts	Sitework	2
2530	Sanitary Sewage Systems	33 31 00	Sanitary Utility Sewerage Piping	Sitework	2
2530	Sanitary Sewer Manholes, Frames, and Covers	33 39 13	Sanitary Utility Sewerage Manholes, Frames, and Covers	Sitework	2
2530	Sanitary Sewerage	33 30 00	Sanitary Sewerage Utilities	Sitework	2
2530	Sewage Collection Lines	33 31 00	Sanitary Utility Sewerage Piping	Sitework	2
2530	Sewage Force Mains	33 34 00	Sanitary Utility Sewerage Force Mains	Sitework	2
2530	Site Sanitary Sewage Lines	33 31 00	Sanitary Utility Sewerage Piping	Sitework	2
2540	Drainage Field	33 36 33	Utility Drainage Field	Sitework	2
2540	Grease Interceptor	33 36 00	Utility Septic Tanks	Sitework	2
2540	Sand Filter	33 36 00	Utility Septic Tanks	Sitework	2
2540	Septic Tank	33 36 00	Utility Septic Tanks	Sitework	2
2540	Septic Tank Systems	33 36 00	Utility Septic Tanks	Sitework	2
2540	Siphon Tank	33 36 00	Utility Septic Tanks	Sitework	2
2550	Chilled Water Distribution	33 61 00	Hydronic Energy Distribution	Sitework	2
2550	Hot Water Distribution	33 61 00	Hydronic Energy Distribution	Sitework	2
2550	Liquid Petroleum Gas Distribution	33 52 00	Liquid Fuel Distribution	Sitework	2
2550	Natural Gas Distribution	33 51 00	Natural-Gas Distribution	Sitework	2
2550	Oil Distribution	33 52 13	Fuel-Oil Distribution	Sitework	2
2550	Piped Energy Distribution	33 50 00	Fuel Distribution Utilities	Sitework	2
2550	Piped Energy Distribution	33 60 00	Hydronic and Steam Energy Utilities	Sitework	2
2550	Steam Distribution	33 63 00	Steam Energy Distribution	Sitework	2
2570	Process Materials Distribution Structures	40 32 00	Bulk Materials Piping and Chutes	Sitework	2
2580	Antenna Towers	33 81 16	Antenna Towers	Sitework	2
2580	Electrical and Communication Structures	33 81 00	Communications Structures	Sitework	2
2580	Lighting Poles and Standards	26 56 13	Lighting Poles and Standards	Sitework	2
2580	Transmission Towers	33 71 13	Electrical Utility Towers	Sitework	2
2580	Underground Ducts and Manholes	33 71 19	Electrical Underground Ducts and Manholes	Sitework	2
2580	Underground Ducts and Manholes	33 81 26	Communications Underground Ducts, Manholes, and Handholes	Sitework	2
2580	Utility Poles	33 71 16	Electrical Utility Poles	Sitework	2
2580	Utility Poles	33 81 19	Communications Utility Poles	Sitework	2
2590	Site Grounding	33 79 00	Site Grounding	Sitework	2
2600	DRAINAGE AND CONTAINMENT	33 40 00	Storm Drainage Utilities	Sitework	2
2610	Pipe Culverts	33 42 13	Pipe Culverts	Sitework	2
2620	Foundation Drainage Piping	33 46 13.13	Foundation Drainage Piping	Sitework	2
2620	Geocomposite Drains	33 46 16.16	Geocomposite Subdrainage	Sitework	2
2620	Geotextile Subsurface Drainage Filtration	33 46 26	Geotextile Subsurface Drainage Filtration	Sitework	2
2620	Pipe Underdrain and Pavement Base Drain	33 46 16.19	Pipe Underdrains	Sitework	2
2620	Retaining Wall Drainage Piping	33 46 33	Retaining Wall Drainage	Sitework	2
2620	Subdrainage	33 46 00	Subdrainage	Sitework	2
2620	Subgrade Drains	33 46 00	Subdrainage	Sitework	2
2620	Tunnel Drainage Piping	33 46 00	Subdrainage	Sitework	2
2620	Underslab Drainage Piping	33 46 19.13	Underslab Drainage Piping	Sitework	2
2630	Catch Basins, Grates, and Frames	33 44 13.13	Catchbasins	Sitework	2
2630	Combination Storm Drain and Underdrain	33 40 00	Storm Drainage Utilities	Sitework	2
2630	Inlets	33 44 00	Storm Utility Water Drains	Sitework	2
2630	Storm Drainage	33 40 00	Storm Drainage Utilities	Sitework	2
2630	Storm Drainage Manholes, Frames, and Covers	33 49 13	Storm Drainage Manholes, Frames, and Covers	Sitework	2
2630	Storm Drainage Pipe and Fittings	33 41 00	Storm Utility Drainage Piping	Sitework	2
2630	Water Detention Chambers	33 49 23	Storm Drainage Water Retention Structures	Sitework	2
2640	Concrete Arch Buried Bridge	33 42 16	Concrete Culverts	Sitework	2
2640	Culverts and Manufactured Construction	33 42 00	Culverts	Sitework	2
2640	Metal Pipe - Arch Culverts	33 42 13	Pipe Culverts	Sitework	2
2640	Metal Plate Culverts	33 42 00	Culverts	Sitework	2
2640	Precast Reinforced Concrete Arch Culverts	33 42 16.13	Precast Concrete Culverts	Sitework	2
2640	Precast Reinforced Concrete Box Culverts	33 42 16.13	Precast Concrete Culverts	Sitework	2
2640	Precast Reinforced Concrete Rigid Frame Culverts	33 42 16.13	Precast Concrete Culverts	Sitework	2
2660	Cooling Water Ponds	33 47 19.23	Cooling Water Ponds	Sitework	2
2660	Distributions Reservoirs	33 47 19.13	Water Distribution Ponds	Sitework	2
2660	Fire Protection Reservoirs	33 47 19.33	Fire-Protection Water Ponds	Sitework	2
2660	Leaching Pits	33 47 26.19	Leaching Pits	Sitework	2
2660	Pond and Reservoir Covers	33 47 16	Pond and Reservoir Covers	Sitework	2
2660	Pond and Reservoir Liners	33 47 13	Pond and Reservoir Liners	Sitework	2
2660	Ponds and Reservoirs	33 47 00	Ponds and Reservoirs	Sitework	2
2660	Retention Basins	33 47 26.16	Retention Basins	Sitework	2
2660	Sewage Lagoons	33 47 23	Sanitary Sewerage Lagoons	Sitework	2
2660	Stabilization Ponds	33 47 26.13	Stabilization Ponds	Sitework	2
2670	Constructed Wetlands	32 71 00	Constructed Wetlands	Sitework	2
2700	BASES, BALLASTS, PAVEMENTS, AND APPURTENANCES	32 10 00	Bases, Ballasts, and Paving	Sitework	2
2710	Aggregate-Bituminous Base Course	32 11 00	Base Courses	Sitework	2
2710	Aggregate-Cement Base Course	32 11 00	Base Courses	Sitework	2
2710	Asphalt-Treated Permeable Base Course	32 11 00	Base Courses	Sitework	2
2710	Bituminous Concrete Base Course	32 11 26	Asphaltic Base Courses	Sitework	2
2710	Bound Base Courses	32 11 00	Base Courses	Sitework	2
2710	Cement Stabilized Open Graded Base	32 11 33	Cement-Treated Base Courses	Sitework	2
2710	Cement Treated Courses	32 11 33	Cement-Treated Base Courses	Sitework	2
2710	Cold-Recycled Bituminous Base Course	32 11 00	Base Courses	Sitework	2
2710	Hydraulic Cement Concrete Base Course	32 11 36.19	Hydraulic Cement Concrete Base Courses	Sitework	2
2710	Lean Concrete Base Course	32 11 36.13	Lean Concrete Base Courses	Sitework	2
2710	Lime Treated Courses	32 11 29	Lime Treated Base Courses	Sitework	2
2710	Lime-Fly-Ash Treated Courses	32 11 29.13	Lime-Fly Ash-Treated Base Courses	Sitework	2
2710	Plain Cement Concrete Base Course	32 11 36.16	Plain Cement Concrete Base Courses	Sitework	2
2720	Aggregate Base Course	32 11 23	Aggregate Base Courses	Sitework	2
2720	Aggregate Subbase	32 11 16.16	Aggregate Subbase Courses	Sitework	2
2720	Cracked and Seated Portland Cement Concrete Base Course	32 11 36	Concrete Base Courses	Sitework	2
2720	Rubberized Portland Cement Concrete Base Course	32 11 36	Concrete Base Courses	Sitework	2
2720	Sub Ballast	32 11 00	Base Courses	Sitework	2
2720	Top Ballast	32 11 00	Base Courses	Sitework	2
2720	Unbound Base Courses and Ballasts	32 11 00	Base Courses	Sitework	2
2730	Aggregate Surfacing	32 15 00	Aggregate Surfacing	Sitework	2
2730	Cinder Surfacing	32 15 13	Cinder Surfacing	Sitework	2
2730	Crushed Stone Surfacing	32 15 40	Crushed Stone Surfacing	Sitework	2
2740	Asphalt-Rubber and Rubber Modified Bituminous Pavement	32 12 16.33	Granulated Rubber-Modified Asphalt Paving	Sitework	2
2740	Athletic Bituminous Pavement	32 12 16.36	Athletic Asphalt Paving	Sitework	2
2740	Bituminous Concrete Pavement	32 12 16	Asphalt Paving	Sitework	2
